Query ID,Best ID,Search DB,Top %,Low %
Zotu1001,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1002,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1003,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1004,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1005,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1006,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1007,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1008,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1009,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1010,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1011,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1012,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1013,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1014,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1015,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1016,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.11
Zotu1017,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1018,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1019,Dermaptera,COI FULL DATABASE (includes records without species designation),98.23,85.95
Zotu1020,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1021,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),97.09,82.2
Zotu1022,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1023,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1024,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1025,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1026,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1027,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1028,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1029,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1030,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1031,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1032,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1033,No match,COI FULL DATABASE (includes records without species designation),,
