ZOTU,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu429,d__Eukaryota,p__Arthropoda,c__Malacostraca,o__Isopoda,,,
Zotu140,d__Eukaryota,p__Arthropoda,c__Malacostraca,o__Isopoda,f__Philosciidae,g__Anchiphiloscia,s__Anchiphiloscia pilosa
Zotu270,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
Zotu586,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
Zotu49,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
Zotu596,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
Zotu937,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
Zotu364,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,
Zotu474,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,
Zotu529,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,
Zotu80,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,f__Agonoxenidae,g__Agonoxena,
Zotu161,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,f__Tineidae,g__Erechthias,s__Erechthias simulans
Zotu537,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,f__Tineidae,g__Erechthias,s__Erechthias simulans
Zotu30,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,,,
Zotu974,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,f__Cerambycidae,g__Ceresium,
Zotu989,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,,,
Zotu253,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,f__Ptiliidae,,
Zotu657,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,f__Staphylinidae,,
Zotu1155,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,f__Staphylinidae,,
Zotu414,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,,,
Zotu627,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Phoridae,g__Chonocephalus,
Zotu1091,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Chloropidae,g__Gaurax,
Zotu213,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Milichiidae,g__Milichiella,
Zotu258,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Drosophilidae,g__Drosophila,s__Drosophila ananassae
Zotu1140,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Drosophilidae,g__Drosophila,s__Drosophila ananassae
Zotu507,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Agromyzidae,g__Liriomyza,s__Liriomyza sativae
Zotu404,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Lonchaeidae,g__Lamprolonchaea,
Zotu29,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Platystomatidae,g__Scholastes,
Zotu517,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Dolichopodidae,g__Chrysotus,
Zotu758,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Dolichopodidae,g__Chrysotus,
Zotu990,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Dolichopodidae,g__Chrysotus,
Zotu1144,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Dolichopodidae,g__Chrysotus,
Zotu382,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Stratiomyidae,g__Cephalochrysa,
Zotu116,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Sciaridae,,
Zotu680,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Limoniidae,g__Styringomyia,s__Styringomyia didyma
Zotu42,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Nylanderia,s__Nylanderia bourbonica
Zotu238,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Nylanderia,s__Nylanderia bourbonica
Zotu649,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Nylanderia,s__Nylanderia bourbonica
