#OTU ID	CEN01	CEN02	CEN03	CEN04	CEN06	CEN07	CEN08	CEN09	CEN10	CEN11	CEN12	CEN13	CEN14	CEN15	CEN16	CEN17	CL1a	CL1b	CL1c	CL1d	CL4a	CL4b	CL4c	CL4d	HEV079a	HEV079d	HEV081a	HEV081d	HEV082a	HEV082d
Zotu11	88452	18	91998	13	18	80114	20	93929	93825	24	21	31	14	10	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu101	503	0	122	0	0	271	0	243	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu57	1418	0	207	2	0	504	0	674	1658	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu194	163	0	132	0	1	133	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu182	382	0	229	0	0	263	0	183	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu175	177	0	188	0	0	194	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu129	503	0	193	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu327	65	0	31	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu520	43	0	30	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu266	246	0	175	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	119	1399	237	3884	42	6624	361	1761	4364	1146	809	188	131	3093	2299	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu98	53	0	273	0	0	670	0	13	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu693	26	0	35	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
