#OTU ID	ISO16	ISO17	ISO18	ISO19	ISO20	ISO21	ISO22	ISO23	ISO24	ISO25	ISO26	ISO27	ISO30	ISO31	ISO32	ISO33	ISO34	ISO35	ISO36	ISO37	LRS2	LRS3	LRS5	LRS6	LRS7	LRS8	NEG2b	NEGa	NEGb	NEGc	NEGd	NEO01	NEO02	NEO03	NEO04	NEO05	NEO06	NEO07	NEO08	NEO09	NEO10	NEO11	NEO12	NEO13	NEO14	NEO15	NEO16	NEO17	NEO18	NEO19	NEO20	NEO21	NEO22	NEO23	NEO24	NEO25	NEO26	PAN01	PAN02	PAN03	PAN04	PAN05	PAN06	PAN07	PAN08
Zotu33	1756	2509	1534	2105	2693	1462	1876	2234	2266	1450	1988	1789	1526	1983	1760	2065	1901	1532	1666	1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu700	22	0	1	0	0	7	5	0	0	25	0	0	0	0	0	0	0	9	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	16	23	3	29	985	918	8867	42	2017	42	653	2466	54	230	0	363	139	102	62	67	0	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Zotu20	247	0	0	222	0	508	0	194	413	0	0	0	573	0	301	440	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu491	14	10	0	1	47	39	1	12	1	0	0	0	0	7	0	0	7	13	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu18	5	0	9	0	0	28	0	0	0	20	0	212	6	0	0	0	0	0	0	0	38960	15574	28691	3	50823	46927	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16	8	1	26	8	144	306	1495	1	499	97	368	252	41	0	392	0	103	56	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
Zotu541	2	2	0	11	4	34	0	5	0	2	0	0	0	7	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	1	0	17	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu49	14	6	15	2	9	40	0	0	0	19	0	0	0	0	0	395	0	4	27	41	2	0	29	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
