#OTU ID	PAN09	PAN10	PAN11	PAN12	PAN13	PAN14	PAN15	PHH004	PHH005	PHH006	PHH007	PHH008	PHH009	PHH010	PHH016	PHH020	PHH021	PHH022	PHH023	PHH024	PHH025	PHH030	PHH032	PHH034	PHH035	PHH038	PHH039	PHH040	PHH041	PHH042
Zotu9	80250	89680	88278	90435	86303	88593	54735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu522	21	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu32	24	20	20	48	23	53	21	216	245	33	2669	135	240	78	866	168	101	38	185	243	82	62	160	719	386	542	144	123	173	99
Zotu23	99	104	81	84	113	96	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1141	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	5	2	2	6	6	15	0	90707	112654	54537	94116	67278	95950	84432	100238	83764	98293	107347	87340	90835	122243	24716	89436	104997	87756	123522	48596	94555	63120	104300
Zotu618	13	4	2	12	2	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu213	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu573	7	4	0	11	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu900	4	1	0	2	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu661	3	3	10	26	4	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu622	10	0	6	11	6	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu552	9	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu673	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
