"","ASV","ID_bold","Search.DB","Top..","Low..","X","X.1"
"1","ASV_1","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",100,90.95,NA,NA
"2","ASV_2","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,85.76,NA,NA
"3","ASV_3","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",99.63,97.09,NA,NA
"4","ASV_4","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.65,85.51,NA,NA
"5","ASV_5","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",100,99.35,NA,NA
"6","ASV_6","Araneae","COI FULL DATABASE (includes records without species designation)",100,85.44,NA,NA
"7","ASV_8","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",100,81.55,NA,NA
"8","ASV_9","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",99.68,97.41,NA,NA
"9","ASV_13","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",100,81.94,NA,NA
"10","ASV_14","Theridion melanostictum","COI FULL DATABASE (includes records without species designation)",100,91.36,NA,NA
"11","ASV_16","Proteobacteria Arachnida ","COI FULL DATABASE (includes records without species designation)",100,98.8,NA,NA
"12","ASV_18","Dermaptera","COI FULL DATABASE (includes records without species designation)",100,85.76,NA,NA
"13","ASV_19","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",100,99.03,NA,NA
"14","ASV_21","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",100,97.73,NA,NA
"15","ASV_22","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,86.08,NA,NA
"16","ASV_23","Platnickina mneon","COI FULL DATABASE (includes records without species designation)",100,89.97,NA,NA
"17","ASV_24","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",100,98.71,NA,NA
"18","ASV_25","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",99.68,90.53,NA,NA
"19","ASV_26","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",100,88.45,NA,NA
"20","ASV_29","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",99.27,96.76,NA,NA
"21","ASV_32","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.65,85.79,NA,NA
"22","ASV_36","2012","COI FULL DATABASE (includes records without species designation)",99.68,90.29,NA,NA
"23","ASV_37","Orthoptera","COI FULL DATABASE (includes records without species designation)",99.52,85.76,NA,NA
"24","ASV_39","Conoderus pallipes","COI FULL DATABASE (includes records without species designation)",100,87.15,NA,NA
"25","ASV_40","Araneae","COI FULL DATABASE (includes records without species designation)",99.66,85.11,NA,NA
"26","ASV_41","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",97.75,90.91,NA,NA
"27","ASV_43","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",99.68,90.55,NA,NA
"28","ASV_44","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,86.41,NA,NA
"29","ASV_48","Mus musculus","COI FULL DATABASE (includes records without species designation)",100,99.35,NA,NA
"30","ASV_49","Anisolabis maritima","COI FULL DATABASE (includes records without species designation)",100,88.03,NA,NA
"31","ASV_50","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.65,85.14,NA,NA
"32","ASV_51","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.11,NA,NA
"33","ASV_52","Nylanderia bourbonica","COI FULL DATABASE (includes records without species designation)",100,98.71,NA,NA
"34","ASV_53","Orthoptera","COI FULL DATABASE (includes records without species designation)",99.03,86.19,NA,NA
"35","ASV_54","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,85.76,NA,NA
"36","ASV_55","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,86.08,NA,NA
"37","ASV_56","Araneae","COI FULL DATABASE (includes records without species designation)",98.06,90.42,NA,NA
"38","ASV_57","Dermaptera","COI FULL DATABASE (includes records without species designation)",98.25,85.44,NA,NA
"39","ASV_58","Rickettsiales","COI FULL DATABASE (includes records without species designation)",99.44,98.94,NA,NA
"40","ASV_59","Blattodea","COI FULL DATABASE (includes records without species designation)",100,84.77,NA,NA
"41","ASV_60","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",100,90.58,NA,NA
"42","ASV_61","Rickettsiales","COI FULL DATABASE (includes records without species designation)",99.25,96.42,NA,NA
"43","ASV_64","2012","COI FULL DATABASE (includes records without species designation)",100,90.61,NA,NA
"44","ASV_66","Psocodea","COI FULL DATABASE (includes records without species designation)",100,100,NA,NA
"45","ASV_67","Dermaptera","COI FULL DATABASE (includes records without species designation)",98.6,85.98,NA,NA
"46","ASV_68","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.44,NA,NA
"47","ASV_71","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",99.68,90.53,NA,NA
"48","ASV_72","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",99.35,90.61,NA,NA
"49","ASV_75","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",99.68,90.76,NA,NA
"50","ASV_78","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",99.27,96.76,NA,NA
"51","ASV_80","Pycnoscelus surinamensis","COI FULL DATABASE (includes records without species designation)",100,85.76,NA,NA
"52","ASV_83","Agonoxena argaula","COI FULL DATABASE (includes records without species designation)",100,89.32,NA,NA
"53","ASV_84","Wolbachia endosymbiont","COI FULL DATABASE (includes records without species designation)",97.12,88.51,NA,NA
"54","ASV_85","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",100,90.95,NA,NA
"55","ASV_86","Araneae","COI FULL DATABASE (includes records without species designation)",99.66,85.19,NA,NA
