Query ID,Best ID,Search DB,,
ASV_701,Ectopsocus fullawayi,COI FULL DATABASE (includes records without species designation),99.03,84.27
ASV_702,No match,COI FULL DATABASE (includes records without species designation),,
ASV_703,No match,COI FULL DATABASE (includes records without species designation),,
ASV_704,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,87.06
ASV_705,No match,COI FULL DATABASE (includes records without species designation),,
ASV_706,Neoscona theisi,COI FULL DATABASE (includes records without species designation),98.39,95.16
ASV_707,No match,COI FULL DATABASE (includes records without species designation),,
ASV_708,No match,COI FULL DATABASE (includes records without species designation),,
ASV_709,No match,COI FULL DATABASE (includes records without species designation),,
ASV_710,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,96.76
ASV_711,No match,COI FULL DATABASE (includes records without species designation),,
ASV_712,No match,COI FULL DATABASE (includes records without species designation),,
ASV_713,No match,COI FULL DATABASE (includes records without species designation),,
ASV_714,No match,COI FULL DATABASE (includes records without species designation),,
ASV_715,No match,COI FULL DATABASE (includes records without species designation),,
ASV_716,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.6,94.5
ASV_717,No match,COI FULL DATABASE (includes records without species designation),,
ASV_718,No match,COI FULL DATABASE (includes records without species designation),,
ASV_719,No match,COI FULL DATABASE (includes records without species designation),,
ASV_720,Basidiomycota Arachnida ,COI FULL DATABASE (includes records without species designation),100,75.73
ASV_721,No match,COI FULL DATABASE (includes records without species designation),,
ASV_722,No match,COI FULL DATABASE (includes records without species designation),,
ASV_723,No match,COI FULL DATABASE (includes records without species designation),,
ASV_724,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_725,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_726,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),99.54,80.91
ASV_727,No match,COI FULL DATABASE (includes records without species designation),,
ASV_728,No match,COI FULL DATABASE (includes records without species designation),,
ASV_729,No match,COI FULL DATABASE (includes records without species designation),,
ASV_730,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_731,No match,COI FULL DATABASE (includes records without species designation),,
ASV_732,No match,COI FULL DATABASE (includes records without species designation),,
ASV_733,Wolbachia sp. Tetraponera manangotra,COI FULL DATABASE (includes records without species designation),99.03,97.99
ASV_734,Proteobacteria Alphaproteobacteria ,COI FULL DATABASE (includes records without species designation),100,98.78
ASV_735,No match,COI FULL DATABASE (includes records without species designation),,
ASV_736,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.67,90.48
ASV_737,No match,COI FULL DATABASE (includes records without species designation),,
ASV_738,No match,COI FULL DATABASE (includes records without species designation),,
ASV_739,Diptera,COI FULL DATABASE (includes records without species designation),99.67,99.67
ASV_740,No match,COI FULL DATABASE (includes records without species designation),,
ASV_741,No match,COI FULL DATABASE (includes records without species designation),,
ASV_742,No match,COI FULL DATABASE (includes records without species designation),,
ASV_743,Araneae,COI FULL DATABASE (includes records without species designation),99.31,85.33
ASV_744,No match,COI FULL DATABASE (includes records without species designation),,
ASV_745,No match,COI FULL DATABASE (includes records without species designation),,
ASV_746,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),100,86.41
ASV_747,No match,COI FULL DATABASE (includes records without species designation),,
ASV_748,Chrysotus cockerellae,COI FULL DATABASE (includes records without species designation),100,91.36
ASV_749,No match,COI FULL DATABASE (includes records without species designation),,
ASV_750,No match,COI FULL DATABASE (includes records without species designation),,
ASV_751,No match,COI FULL DATABASE (includes records without species designation),,
ASV_752,No match,COI FULL DATABASE (includes records without species designation),,
ASV_753,Diptera,COI FULL DATABASE (includes records without species designation),100,97.76
ASV_754,No match,COI FULL DATABASE (includes records without species designation),,
ASV_755,No match,COI FULL DATABASE (includes records without species designation),,
ASV_756,No match,COI FULL DATABASE (includes records without species designation),,
ASV_757,No match,COI FULL DATABASE (includes records without species designation),,
ASV_758,No match,COI FULL DATABASE (includes records without species designation),,
ASV_759,No match,COI FULL DATABASE (includes records without species designation),,
ASV_760,No match,COI FULL DATABASE (includes records without species designation),,
ASV_761,No match,COI FULL DATABASE (includes records without species designation),,
ASV_762,No match,COI FULL DATABASE (includes records without species designation),,
ASV_763,No match,COI FULL DATABASE (includes records without species designation),,
ASV_764,No match,COI FULL DATABASE (includes records without species designation),,
ASV_765,No match,COI FULL DATABASE (includes records without species designation),,
ASV_766,No match,COI FULL DATABASE (includes records without species designation),,
ASV_767,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.53,90.22
ASV_768,Dermaptera,COI FULL DATABASE (includes records without species designation),97.18,85.06
ASV_769,No match,COI FULL DATABASE (includes records without species designation),,
ASV_770,No match,COI FULL DATABASE (includes records without species designation),,
ASV_771,No match,COI FULL DATABASE (includes records without species designation),,
ASV_772,No match,COI FULL DATABASE (includes records without species designation),,
ASV_773,No match,COI FULL DATABASE (includes records without species designation),,
ASV_774,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),100,96.61
ASV_775,Phytophthora nicotianae,COI FULL DATABASE (includes records without species designation),100,95.79
ASV_776,2014a,COI FULL DATABASE (includes records without species designation),100,80.91
ASV_777,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.67,91.15
ASV_778,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_779,No match,COI FULL DATABASE (includes records without species designation),,
ASV_780,No match,COI FULL DATABASE (includes records without species designation),,
ASV_781,Linepithema humile,COI FULL DATABASE (includes records without species designation),100,100
ASV_782,No match,COI FULL DATABASE (includes records without species designation),,
ASV_783,No match,COI FULL DATABASE (includes records without species designation),,
ASV_784,Ponera swezeyi,COI FULL DATABASE (includes records without species designation),100,100
ASV_785,No match,COI FULL DATABASE (includes records without species designation),,
ASV_786,No match,COI FULL DATABASE (includes records without species designation),,
ASV_787,No match,COI FULL DATABASE (includes records without species designation),,
ASV_788,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_789,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_790,No match,COI FULL DATABASE (includes records without species designation),,
ASV_791,Wolbachia sp. Tetraponera manangotra,COI FULL DATABASE (includes records without species designation),99.68,98.07
ASV_792,Aspergillus niger,COI FULL DATABASE (includes records without species designation),100,90.4
ASV_793,Tyrophagus putrescentiae,COI FULL DATABASE (includes records without species designation),97.41,96.44
ASV_794,No match,COI FULL DATABASE (includes records without species designation),,
ASV_795,Pantala flavescens,COI FULL DATABASE (includes records without species designation),97.73,96.76
ASV_796,No match,COI FULL DATABASE (includes records without species designation),,
