Query ID,Best ID,Search DB,,
ASV_301,No match,COI FULL DATABASE (includes records without species designation),,
ASV_302,Basidiomycota  ,COI FULL DATABASE (includes records without species designation),98.05,77.38
ASV_303,No match,COI FULL DATABASE (includes records without species designation),,
ASV_304,No match,COI FULL DATABASE (includes records without species designation),,
ASV_305,No match,COI FULL DATABASE (includes records without species designation),,
ASV_306,No match,COI FULL DATABASE (includes records without species designation),,
ASV_307,Diptera,COI FULL DATABASE (includes records without species designation),99.67,99.67
ASV_308,No match,COI FULL DATABASE (includes records without species designation),,
ASV_309,No match,COI FULL DATABASE (includes records without species designation),,
ASV_310,Diptera,COI FULL DATABASE (includes records without species designation),100,83.41
ASV_311,No match,COI FULL DATABASE (includes records without species designation),,
ASV_312,Orthoptera,COI FULL DATABASE (includes records without species designation),97.62,86.41
ASV_313,No match,COI FULL DATABASE (includes records without species designation),,
ASV_314,No match,COI FULL DATABASE (includes records without species designation),,
ASV_315,No match,COI FULL DATABASE (includes records without species designation),,
ASV_316,No match,COI FULL DATABASE (includes records without species designation),,
ASV_317,No match,COI FULL DATABASE (includes records without species designation),,
ASV_318,No match,COI FULL DATABASE (includes records without species designation),,
ASV_319,No match,COI FULL DATABASE (includes records without species designation),,
ASV_320,No match,COI FULL DATABASE (includes records without species designation),,
ASV_321,No match,COI FULL DATABASE (includes records without species designation),,
ASV_322,No match,COI FULL DATABASE (includes records without species designation),,
ASV_323,No match,COI FULL DATABASE (includes records without species designation),,
ASV_324,No match,COI FULL DATABASE (includes records without species designation),,
ASV_325,No match,COI FULL DATABASE (includes records without species designation),,
ASV_326,Diptera,COI FULL DATABASE (includes records without species designation),100,92.88
ASV_327,No match,COI FULL DATABASE (includes records without species designation),,
ASV_328,No match,COI FULL DATABASE (includes records without species designation),,
ASV_329,No match,COI FULL DATABASE (includes records without species designation),,
ASV_330,No match,COI FULL DATABASE (includes records without species designation),,
ASV_331,No match,COI FULL DATABASE (includes records without species designation),,
ASV_332,No match,COI FULL DATABASE (includes records without species designation),,
ASV_333,No match,COI FULL DATABASE (includes records without species designation),,
ASV_334,No match,COI FULL DATABASE (includes records without species designation),,
ASV_335,No match,COI FULL DATABASE (includes records without species designation),,
ASV_336,No match,COI FULL DATABASE (includes records without species designation),,
ASV_337,No match,COI FULL DATABASE (includes records without species designation),,
ASV_338,No match,COI FULL DATABASE (includes records without species designation),,
ASV_339,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.44
