Query ID,Best ID,Search DB,,
ASV_1501,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1502,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1503,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1504,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1505,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1506,Wolbachia endosymbiont of Formicidae,COI FULL DATABASE (includes records without species designation),99.62,97.33
ASV_1507,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1508,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1509,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1510,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1511,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1512,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1513,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1514,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1515,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1516,2017,COI FULL DATABASE (includes records without species designation),98.02,86.2
ASV_1517,2012,COI FULL DATABASE (includes records without species designation),99.68,90.51
ASV_1518,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1519,Conocephalus saltator,COI FULL DATABASE (includes records without species designation),100,85.44
ASV_1520,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1521,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1522,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1523,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1524,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.59
ASV_1525,Fusarium redolens,COI FULL DATABASE (includes records without species designation),98.71,86.73
ASV_1526,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,89.95
ASV_1527,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_1528,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1529,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,91.09
ASV_1530,Wolbachia sp. Anacrusis nephrodes,COI FULL DATABASE (includes records without species designation),99.62,98.86
ASV_1531,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1532,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1533,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1534,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1535,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1536,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1537,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1538,Microstromatales,COI FULL DATABASE (includes records without species designation),99.68,77.12
ASV_1539,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1540,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1541,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1542,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1543,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1544,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1545,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1546,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1547,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1548,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1549,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1550,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1551,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1552,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),97.74,94.35
ASV_1553,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1554,Neoscona theisi,COI FULL DATABASE (includes records without species designation),98.74,95.6
ASV_1555,Nylanderia bourbonica,COI FULL DATABASE (includes records without species designation),100,98.84
