Query ID,Best ID,Search DB,,
ASV_1001,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,84.51
ASV_1002,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1003,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.04
ASV_1004,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1005,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1006,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1007,Gaurax bicoloripes,COI FULL DATABASE (includes records without species designation),100,93.85
ASV_1008,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1009,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1010,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.22
ASV_1011,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1012,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1013,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1014,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1015,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1016,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1017,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1018,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1019,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1020,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1021,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1022,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1023,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
ASV_1024,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1025,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1026,Araneae,COI FULL DATABASE (includes records without species designation),99.63,82.2
ASV_1027,Araneae,COI FULL DATABASE (includes records without species designation),99.35,84.89
ASV_1028,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1029,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1030,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1031,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1032,Ornebius novarae,COI FULL DATABASE (includes records without species designation),99.01,83.51
ASV_1033,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1034,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1035,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_1036,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1037,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1038,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1039,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1040,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1041,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1042,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1043,No match,COI FULL DATABASE (includes records without species designation),,
