Query ID,Best ID,Search DB,,
ASV_1601,Penicillium citrinum,COI SPECIES DATABASE,97.74,94.92
ASV_1602,No match,COI SPECIES DATABASE,,
ASV_1603,No match,COI SPECIES DATABASE,,
ASV_1604,No match,COI SPECIES DATABASE,,
ASV_1605,No match,COI SPECIES DATABASE,,
ASV_1606,No match,COI SPECIES DATABASE,,
ASV_1607,No match,COI SPECIES DATABASE,,
ASV_1608,No match,COI SPECIES DATABASE,,
ASV_1609,No match,COI SPECIES DATABASE,,
ASV_1610,No match,COI SPECIES DATABASE,,
ASV_1611,No match,COI SPECIES DATABASE,,
ASV_1612,No match,COI SPECIES DATABASE,,
ASV_1613,No match,COI SPECIES DATABASE,,
ASV_1614,No match,COI SPECIES DATABASE,,
ASV_1615,No match,COI SPECIES DATABASE,,
ASV_1616,No match,COI SPECIES DATABASE,,
ASV_1617,No match,COI SPECIES DATABASE,,
ASV_1618,No match,COI SPECIES DATABASE,,
ASV_1619,No match,COI SPECIES DATABASE,,
ASV_1620,No match,COI SPECIES DATABASE,,
ASV_1621,No match,COI SPECIES DATABASE,,
ASV_1622,No match,COI SPECIES DATABASE,,
ASV_1623,No match,COI SPECIES DATABASE,,
ASV_1624,No match,COI SPECIES DATABASE,,
ASV_1625,No match,COI SPECIES DATABASE,,
ASV_1626,No match,COI SPECIES DATABASE,,
ASV_1627,No match,COI SPECIES DATABASE,,
ASV_1628,No match,COI SPECIES DATABASE,,
ASV_1629,No match,COI SPECIES DATABASE,,
ASV_1630,Smeringopus pallidus,COI SPECIES DATABASE,99.67,81.37
ASV_1631,Cochliopodium sp.,COI SPECIES DATABASE,99.03,79.87
ASV_1632,No match,COI SPECIES DATABASE,,
ASV_1633,Heteropoda venatoria,COI SPECIES DATABASE,99.4,90.2
ASV_1634,No match,COI SPECIES DATABASE,,
ASV_1635,No match,COI SPECIES DATABASE,,
ASV_1636,Dermatophagoides sp. WH_1,COI SPECIES DATABASE,100,86.73
ASV_1637,2012,COI SPECIES DATABASE,99.61,90.31
ASV_1638,Heteropoda venatoria,COI SPECIES DATABASE,99.11,90.18
ASV_1639,No match,COI SPECIES DATABASE,,
ASV_1640,No match,COI SPECIES DATABASE,,
ASV_1641,No match,COI SPECIES DATABASE,,
ASV_1642,Heteropoda venatoria,COI SPECIES DATABASE,98.51,89.63
ASV_1643,No match,COI SPECIES DATABASE,,
ASV_1644,No match,COI SPECIES DATABASE,,
ASV_1645,No match,COI SPECIES DATABASE,,
ASV_1646,No match,COI SPECIES DATABASE,,
ASV_1647,No match,COI SPECIES DATABASE,,
ASV_1648,Heteropoda venatoria,COI SPECIES DATABASE,100,90.61
ASV_1649,No match,COI SPECIES DATABASE,,
ASV_1650,No match,COI SPECIES DATABASE,,
ASV_1651,No match,COI SPECIES DATABASE,,
ASV_1652,No match,COI SPECIES DATABASE,,
ASV_1653,No match,COI SPECIES DATABASE,,
ASV_1654,No match,COI SPECIES DATABASE,,
ASV_1655,No match,COI SPECIES DATABASE,,
ASV_1656,No match,COI SPECIES DATABASE,,
ASV_1657,No match,COI SPECIES DATABASE,,
ASV_1658,No match,COI SPECIES DATABASE,,
ASV_1659,No match,COI SPECIES DATABASE,,
ASV_1660,No match,COI SPECIES DATABASE,,
ASV_1661,No match,COI SPECIES DATABASE,,
ASV_1662,No match,COI SPECIES DATABASE,,
ASV_1663,No match,COI SPECIES DATABASE,,
ASV_1664,Piletocera signiferalis,COI SPECIES DATABASE,99.35,92.01
ASV_1665,Neoscona theisi,COI SPECIES DATABASE,99.66,96.94
ASV_1666,No match,COI SPECIES DATABASE,,
ASV_1667,No match,COI SPECIES DATABASE,,
ASV_1668,No match,COI SPECIES DATABASE,,
ASV_1669,No match,COI SPECIES DATABASE,,
ASV_1670,No match,COI SPECIES DATABASE,,
ASV_1671,No match,COI SPECIES DATABASE,,
ASV_1672,No match,COI SPECIES DATABASE,,
ASV_1673,No match,COI SPECIES DATABASE,,
ASV_1674,No match,COI SPECIES DATABASE,,
ASV_1675,No match,COI SPECIES DATABASE,,
ASV_1676,No match,COI SPECIES DATABASE,,
ASV_1677,No match,COI SPECIES DATABASE,,
ASV_1678,Aleurodicus dispersus,COI SPECIES DATABASE,99.68,99.68
ASV_1679,No match,COI SPECIES DATABASE,,
ASV_1680,No match,COI SPECIES DATABASE,,
ASV_1681,No match,COI SPECIES DATABASE,,
ASV_1682,Phisis holdhausi,COI SPECIES DATABASE,98.78,85.32
ASV_1683,No match,COI SPECIES DATABASE,,
ASV_1684,No match,COI SPECIES DATABASE,,
ASV_1685,Smeringopus pallidus,COI SPECIES DATABASE,100,81.23
ASV_1686,No match,COI SPECIES DATABASE,,
ASV_1687,No match,COI SPECIES DATABASE,,
ASV_1688,No match,COI SPECIES DATABASE,,
ASV_1689,No match,COI SPECIES DATABASE,,
ASV_1690,No match,COI SPECIES DATABASE,,
ASV_1691,No match,COI SPECIES DATABASE,,
ASV_1692,No match,COI SPECIES DATABASE,,
ASV_1693,No match,COI SPECIES DATABASE,,
ASV_1694,No match,COI SPECIES DATABASE,,
ASV_1695,No match,COI SPECIES DATABASE,,
ASV_1696,No match,COI SPECIES DATABASE,,
ASV_1697,No match,COI SPECIES DATABASE,,
ASV_1698,No match,COI SPECIES DATABASE,,
ASV_1699,No match,COI SPECIES DATABASE,,
ASV_1700,No match,COI SPECIES DATABASE,,
