Query ID,Best ID,Search DB,,
ASV_1201,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1202,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,91.19
ASV_1203,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1204,Diptera,COI FULL DATABASE (includes records without species designation),100,96.8
ASV_1205,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1206,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1207,Blattodea,COI FULL DATABASE (includes records without species designation),99.68,84.77
ASV_1208,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1209,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1210,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1211,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1212,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1213,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1214,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1215,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1216,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1217,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1218,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1219,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1220,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1221,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1222,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1223,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1224,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1225,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1226,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1227,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1228,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1229,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1230,Psocodea,COI FULL DATABASE (includes records without species designation),100,84.79
ASV_1231,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1232,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1233,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1234,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1235,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1236,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1237,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_1238,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1239,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1240,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1241,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1242,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1243,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1244,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1245,Basidiomycota Arachnida ,COI FULL DATABASE (includes records without species designation),100,75.26
ASV_1246,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1247,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1248,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1249,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1250,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1251,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1252,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1253,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1254,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1255,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1256,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1257,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1258,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1259,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1260,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1261,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1262,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1263,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1264,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1265,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1266,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1267,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1268,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1269,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1270,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1271,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1272,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1273,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1274,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1275,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1276,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1277,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1278,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1279,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1280,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1281,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1282,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1283,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1284,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1285,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1286,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1287,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1288,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1289,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1290,Odonata,COI FULL DATABASE (includes records without species designation),97.38,95.79
ASV_1291,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1292,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1293,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1294,Hymenoptera,COI FULL DATABASE (includes records without species designation),100,91.01
ASV_1295,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1296,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1297,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.38,90.2
ASV_1298,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.08
ASV_1299,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.08
ASV_1300,No match,COI FULL DATABASE (includes records without species designation),,
