Query ID,Best ID,Search DB,,
Zotu1201,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1202,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1203,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1204,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1205,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,86.08
Zotu1206,Dermaptera,COI FULL DATABASE (includes records without species designation),97.18,85.92
Zotu1207,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1208,Psocodea,COI FULL DATABASE (includes records without species designation),99.68,87.38
Zotu1209,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1210,No match,COI FULL DATABASE (includes records without species designation),,
