Query ID,Best ID,Search DB,,
ASV_201,No match,COI FULL DATABASE (includes records without species designation),,
ASV_202,No match,COI FULL DATABASE (includes records without species designation),,
ASV_203,No match,COI FULL DATABASE (includes records without species designation),,
ASV_204,No match,COI FULL DATABASE (includes records without species designation),,
ASV_205,No match,COI FULL DATABASE (includes records without species designation),,
ASV_206,No match,COI FULL DATABASE (includes records without species designation),,
ASV_207,No match,COI FULL DATABASE (includes records without species designation),,
ASV_208,No match,COI FULL DATABASE (includes records without species designation),,
ASV_209,No match,COI FULL DATABASE (includes records without species designation),,
ASV_210,No match,COI FULL DATABASE (includes records without species designation),,
ASV_211,Cochliopodium sp.,COI FULL DATABASE (includes records without species designation),99.03,79.87
ASV_212,No match,COI FULL DATABASE (includes records without species designation),,
ASV_213,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.4,90.37
ASV_214,No match,COI FULL DATABASE (includes records without species designation),,
