Query ID,Best ID,Search DB,,
ASV_101,No match,COI FULL DATABASE (includes records without species designation),,
ASV_102,No match,COI FULL DATABASE (includes records without species designation),,
ASV_103,No match,COI FULL DATABASE (includes records without species designation),,
ASV_104,No match,COI FULL DATABASE (includes records without species designation),,
ASV_105,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,89.96
ASV_106,No match,COI FULL DATABASE (includes records without species designation),,
ASV_107,No match,COI FULL DATABASE (includes records without species designation),,
ASV_108,Arthropoda Arachnida ,COI FULL DATABASE (includes records without species designation),100,82.03
ASV_109,No match,COI FULL DATABASE (includes records without species designation),,
ASV_110,No match,COI FULL DATABASE (includes records without species designation),,
ASV_111,Phytophthora nicotianae,COI FULL DATABASE (includes records without species designation),100,95.79
ASV_112,No match,COI FULL DATABASE (includes records without species designation),,
ASV_113,No match,COI FULL DATABASE (includes records without species designation),,
ASV_114,Aspergillus niger,COI FULL DATABASE (includes records without species designation),100,90.4
ASV_115,No match,COI FULL DATABASE (includes records without species designation),,
ASV_116,No match,COI FULL DATABASE (includes records without species designation),,
ASV_117,Pycnoscelus indicus,COI FULL DATABASE (includes records without species designation),97.41,86.08
ASV_118,No match,COI FULL DATABASE (includes records without species designation),,
ASV_119,No match,COI FULL DATABASE (includes records without species designation),,
ASV_120,No match,COI FULL DATABASE (includes records without species designation),,
ASV_121,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.57
ASV_122,No match,COI FULL DATABASE (includes records without species designation),,
ASV_123,No match,COI FULL DATABASE (includes records without species designation),,
ASV_124,No match,COI FULL DATABASE (includes records without species designation),,
ASV_125,No match,COI FULL DATABASE (includes records without species designation),,
ASV_126,No match,COI FULL DATABASE (includes records without species designation),,
ASV_127,No match,COI FULL DATABASE (includes records without species designation),,
ASV_128,No match,COI FULL DATABASE (includes records without species designation),,
ASV_129,No match,COI FULL DATABASE (includes records without species designation),,
ASV_130,No match,COI FULL DATABASE (includes records without species designation),,
ASV_131,No match,COI FULL DATABASE (includes records without species designation),,
ASV_132,No match,COI FULL DATABASE (includes records without species designation),,
ASV_133,No match,COI FULL DATABASE (includes records without species designation),,
ASV_134,No match,COI FULL DATABASE (includes records without species designation),,
ASV_135,No match,COI FULL DATABASE (includes records without species designation),,
ASV_136,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.53,90.22
ASV_137,No match,COI FULL DATABASE (includes records without species designation),,
ASV_138,No match,COI FULL DATABASE (includes records without species designation),,
ASV_139,Saccharomyces cerevisiae YJM1527,COI FULL DATABASE (includes records without species designation),100,93.85
ASV_140,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_141,Araneae,COI FULL DATABASE (includes records without species designation),98.88,82.03
ASV_142,No match,COI FULL DATABASE (includes records without species designation),,
ASV_143,No match,COI FULL DATABASE (includes records without species designation),,
ASV_144,No match,COI FULL DATABASE (includes records without species designation),,
ASV_145,Erechthias simulans,COI FULL DATABASE (includes records without species designation),100,89.64
