Query ID,Best ID,Search DB,,
ASV_201,Proteobacteria  ,COI FULL DATABASE (includes records without species designation),99.37,98.38
ASV_202,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.44
ASV_203,No match,COI FULL DATABASE (includes records without species designation),,
ASV_204,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_205,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_206,No match,COI FULL DATABASE (includes records without species designation),,
ASV_207,No match,COI FULL DATABASE (includes records without species designation),,
ASV_208,No match,COI FULL DATABASE (includes records without species designation),,
ASV_209,No match,COI FULL DATABASE (includes records without species designation),,
ASV_210,No match,COI FULL DATABASE (includes records without species designation),,
ASV_211,No match,COI FULL DATABASE (includes records without species designation),,
ASV_212,No match,COI FULL DATABASE (includes records without species designation),,
ASV_213,No match,COI FULL DATABASE (includes records without species designation),,
ASV_214,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_215,No match,COI FULL DATABASE (includes records without species designation),,
ASV_216,No match,COI FULL DATABASE (includes records without species designation),,
ASV_217,No match,COI FULL DATABASE (includes records without species designation),,
ASV_218,No match,COI FULL DATABASE (includes records without species designation),,
ASV_219,No match,COI FULL DATABASE (includes records without species designation),,
ASV_220,No match,COI FULL DATABASE (includes records without species designation),,
ASV_221,No match,COI FULL DATABASE (includes records without species designation),,
ASV_222,No match,COI FULL DATABASE (includes records without species designation),,
ASV_223,No match,COI FULL DATABASE (includes records without species designation),,
ASV_224,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_225,No match,COI FULL DATABASE (includes records without species designation),,
ASV_226,No match,COI FULL DATABASE (includes records without species designation),,
ASV_227,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_228,No match,COI FULL DATABASE (includes records without species designation),,
ASV_229,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),99.68,89.64
ASV_230,No match,COI FULL DATABASE (includes records without species designation),,
ASV_231,No match,COI FULL DATABASE (includes records without species designation),,
ASV_232,No match,COI FULL DATABASE (includes records without species designation),,
ASV_233,No match,COI FULL DATABASE (includes records without species designation),,
ASV_234,No match,COI FULL DATABASE (includes records without species designation),,
ASV_235,No match,COI FULL DATABASE (includes records without species designation),,
ASV_236,No match,COI FULL DATABASE (includes records without species designation),,
ASV_237,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.22
ASV_238,No match,COI FULL DATABASE (includes records without species designation),,
ASV_239,Proteobacteria Arachnida ,COI FULL DATABASE (includes records without species designation),100,98.78
ASV_240,No match,COI FULL DATABASE (includes records without species designation),,
ASV_241,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_242,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.69
ASV_243,No match,COI FULL DATABASE (includes records without species designation),,
ASV_244,No match,COI FULL DATABASE (includes records without species designation),,
ASV_245,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.55
ASV_246,No match,COI FULL DATABASE (includes records without species designation),,
ASV_247,No match,COI FULL DATABASE (includes records without species designation),,
ASV_248,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.57
ASV_249,No match,COI FULL DATABASE (includes records without species designation),,
ASV_250,No match,COI FULL DATABASE (includes records without species designation),,
ASV_251,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.19
ASV_252,No match,COI FULL DATABASE (includes records without species designation),,
ASV_253,No match,COI FULL DATABASE (includes records without species designation),,
ASV_254,Rhodotorula taiwanensis RS1,COI FULL DATABASE (includes records without species designation),97.73,76.29
ASV_255,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_256,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_257,No match,COI FULL DATABASE (includes records without species designation),,
ASV_258,No match,COI FULL DATABASE (includes records without species designation),,
ASV_259,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_260,No match,COI FULL DATABASE (includes records without species designation),,
ASV_261,Araneae,COI FULL DATABASE (includes records without species designation),98.88,82.03
ASV_262,No match,COI FULL DATABASE (includes records without species designation),,
ASV_263,No match,COI FULL DATABASE (includes records without species designation),,
ASV_264,No match,COI FULL DATABASE (includes records without species designation),,
ASV_265,No match,COI FULL DATABASE (includes records without species designation),,
ASV_266,No match,COI FULL DATABASE (includes records without species designation),,
ASV_267,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.44
ASV_268,No match,COI FULL DATABASE (includes records without species designation),,
ASV_269,No match,COI FULL DATABASE (includes records without species designation),,
ASV_270,No match,COI FULL DATABASE (includes records without species designation),,
ASV_271,No match,COI FULL DATABASE (includes records without species designation),,
ASV_272,No match,COI FULL DATABASE (includes records without species designation),,
ASV_273,No match,COI FULL DATABASE (includes records without species designation),,
ASV_274,No match,COI FULL DATABASE (includes records without species designation),,
ASV_275,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_276,No match,COI FULL DATABASE (includes records without species designation),,
ASV_277,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.27,96.76
ASV_278,No match,COI FULL DATABASE (includes records without species designation),,
ASV_279,No match,COI FULL DATABASE (includes records without species designation),,
ASV_280,No match,COI FULL DATABASE (includes records without species designation),,
ASV_281,No match,COI FULL DATABASE (includes records without species designation),,
ASV_282,No match,COI FULL DATABASE (includes records without species designation),,
ASV_283,No match,COI FULL DATABASE (includes records without species designation),,
ASV_284,No match,COI FULL DATABASE (includes records without species designation),,
ASV_285,No match,COI FULL DATABASE (includes records without species designation),,
ASV_286,Basidiomycota Arachnida ,COI FULL DATABASE (includes records without species designation),100,75.73
ASV_287,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_288,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_289,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),99.54,80.91
ASV_290,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_291,No match,COI FULL DATABASE (includes records without species designation),,
ASV_292,Araneae,COI FULL DATABASE (includes records without species designation),99.31,85.33
ASV_293,Wolbachia sp. Tetraponera manangotra,COI FULL DATABASE (includes records without species designation),99.03,97.99
ASV_294,Proteobacteria Alphaproteobacteria ,COI FULL DATABASE (includes records without species designation),100,98.78
ASV_295,No match,COI FULL DATABASE (includes records without species designation),,
ASV_296,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.67,90.48
ASV_297,No match,COI FULL DATABASE (includes records without species designation),,
ASV_298,No match,COI FULL DATABASE (includes records without species designation),,
ASV_299,No match,COI FULL DATABASE (includes records without species designation),,
ASV_300,No match,COI FULL DATABASE (includes records without species designation),,
