Query ID,Best ID,Search DB,,
ASV_401,No match,COI FULL DATABASE (includes records without species designation),,
ASV_402,No match,COI FULL DATABASE (includes records without species designation),,
ASV_403,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.35,90.12
ASV_404,No match,COI FULL DATABASE (includes records without species designation),,
ASV_405,No match,COI FULL DATABASE (includes records without species designation),,
ASV_406,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.44
ASV_407,No match,COI FULL DATABASE (includes records without species designation),,
ASV_408,No match,COI FULL DATABASE (includes records without species designation),,
ASV_409,No match,COI FULL DATABASE (includes records without species designation),,
ASV_410,No match,COI FULL DATABASE (includes records without species designation),,
ASV_411,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.58
ASV_412,No match,COI FULL DATABASE (includes records without species designation),,
ASV_413,No match,COI FULL DATABASE (includes records without species designation),,
ASV_414,Proteobacteria Arachnida ,COI FULL DATABASE (includes records without species designation),100,98.8
ASV_415,No match,COI FULL DATABASE (includes records without species designation),,
ASV_416,No match,COI FULL DATABASE (includes records without species designation),,
ASV_417,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_418,No match,COI FULL DATABASE (includes records without species designation),,
ASV_419,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_420,No match,COI FULL DATABASE (includes records without species designation),,
ASV_421,No match,COI FULL DATABASE (includes records without species designation),,
ASV_422,No match,COI FULL DATABASE (includes records without species designation),,
ASV_423,Araneae,COI FULL DATABASE (includes records without species designation),98.88,82.03
ASV_424,No match,COI FULL DATABASE (includes records without species designation),,
ASV_425,Cephalochrysa maxima,COI FULL DATABASE (includes records without species designation),100,88.35
ASV_426,No match,COI FULL DATABASE (includes records without species designation),,
ASV_427,No match,COI FULL DATABASE (includes records without species designation),,
ASV_428,No match,COI FULL DATABASE (includes records without species designation),,
ASV_429,No match,COI FULL DATABASE (includes records without species designation),,
ASV_430,No match,COI FULL DATABASE (includes records without species designation),,
ASV_431,No match,COI FULL DATABASE (includes records without species designation),,
ASV_432,No match,COI FULL DATABASE (includes records without species designation),,
ASV_433,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.51
ASV_434,No match,COI FULL DATABASE (includes records without species designation),,
ASV_435,No match,COI FULL DATABASE (includes records without species designation),,
ASV_436,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,97.09
ASV_437,No match,COI FULL DATABASE (includes records without species designation),,
ASV_438,No match,COI FULL DATABASE (includes records without species designation),,
ASV_439,No match,COI FULL DATABASE (includes records without species designation),,
ASV_440,No match,COI FULL DATABASE (includes records without species designation),,
ASV_441,Lamprolonchaea metatarsata,COI FULL DATABASE (includes records without species designation),100,95.1
ASV_442,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),99.68,87.55
ASV_443,No match,COI FULL DATABASE (includes records without species designation),,
ASV_444,No match,COI FULL DATABASE (includes records without species designation),,
ASV_445,No match,COI FULL DATABASE (includes records without species designation),,
ASV_446,No match,COI FULL DATABASE (includes records without species designation),,
ASV_447,No match,COI FULL DATABASE (includes records without species designation),,
ASV_448,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),99.68,89.64
ASV_449,No match,COI FULL DATABASE (includes records without species designation),,
ASV_450,Diptera,COI FULL DATABASE (includes records without species designation),99.17,83.72
ASV_451,No match,COI FULL DATABASE (includes records without species designation),,
ASV_452,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,89.96
ASV_453,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_454,No match,COI FULL DATABASE (includes records without species designation),,
ASV_455,Coleoptera,COI FULL DATABASE (includes records without species designation),99.68,85.76
ASV_456,No match,COI FULL DATABASE (includes records without species designation),,
ASV_457,No match,COI FULL DATABASE (includes records without species designation),,
ASV_458,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),99.68,86.75
ASV_459,No match,COI FULL DATABASE (includes records without species designation),,
ASV_460,No match,COI FULL DATABASE (includes records without species designation),,
ASV_461,No match,COI FULL DATABASE (includes records without species designation),,
ASV_462,No match,COI FULL DATABASE (includes records without species designation),,
ASV_463,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_464,No match,COI FULL DATABASE (includes records without species designation),,
ASV_465,No match,COI FULL DATABASE (includes records without species designation),,
ASV_466,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.44
ASV_467,No match,COI FULL DATABASE (includes records without species designation),,
ASV_468,Orthoptera,COI FULL DATABASE (includes records without species designation),98.1,86.73
ASV_469,Ectopsocus sp.,COI FULL DATABASE (includes records without species designation),100,84.95
ASV_470,No match,COI FULL DATABASE (includes records without species designation),,
ASV_471,No match,COI FULL DATABASE (includes records without species designation),,
ASV_472,No match,COI FULL DATABASE (includes records without species designation),,
ASV_473,No match,COI FULL DATABASE (includes records without species designation),,
ASV_474,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.44
ASV_475,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.35,90.12
ASV_476,No match,COI FULL DATABASE (includes records without species designation),,
ASV_477,No match,COI FULL DATABASE (includes records without species designation),,
ASV_478,No match,COI FULL DATABASE (includes records without species designation),,
ASV_479,No match,COI FULL DATABASE (includes records without species designation),,
ASV_480,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_481,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.38,90.12
ASV_482,No match,COI FULL DATABASE (includes records without species designation),,
ASV_483,No match,COI FULL DATABASE (includes records without species designation),,
ASV_484,No match,COI FULL DATABASE (includes records without species designation),,
ASV_485,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.57,96.76
ASV_486,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),99.67,88.37
ASV_487,No match,COI FULL DATABASE (includes records without species designation),,
ASV_488,Liriomyza sativae,COI FULL DATABASE (includes records without species designation),100,100
ASV_489,No match,COI FULL DATABASE (includes records without species designation),,
ASV_490,No match,COI FULL DATABASE (includes records without species designation),,
ASV_491,No match,COI FULL DATABASE (includes records without species designation),,
ASV_492,No match,COI FULL DATABASE (includes records without species designation),,
ASV_493,No match,COI FULL DATABASE (includes records without species designation),,
ASV_494,No match,COI FULL DATABASE (includes records without species designation),,
ASV_495,Pantala flavescens,COI FULL DATABASE (includes records without species designation),99.68,98.71
ASV_496,Proteobacteria Insecta ,COI FULL DATABASE (includes records without species designation),100,98.8
ASV_497,No match,COI FULL DATABASE (includes records without species designation),,
ASV_498,Pycnoscelus indicus,COI FULL DATABASE (includes records without species designation),97.41,86.08
ASV_499,No match,COI FULL DATABASE (includes records without species designation),,
ASV_500,No match,COI FULL DATABASE (includes records without species designation),,
