Query ID,Best ID,Search DB,,
ASV_501,Hasarius adansoni,COI FULL DATABASE (includes records without species designation),100,89.54
ASV_502,No match,COI FULL DATABASE (includes records without species designation),,
ASV_503,No match,COI FULL DATABASE (includes records without species designation),,
ASV_504,Chonocephalus sp.,COI FULL DATABASE (includes records without species designation),99.68,81.02
ASV_505,Diptera,COI FULL DATABASE (includes records without species designation),100,86.08
ASV_506,No match,COI FULL DATABASE (includes records without species designation),,
ASV_507,No match,COI FULL DATABASE (includes records without species designation),,
ASV_508,Diptera,COI FULL DATABASE (includes records without species designation),99.68,99.68
ASV_509,No match,COI FULL DATABASE (includes records without species designation),,
ASV_510,No match,COI FULL DATABASE (includes records without species designation),,
ASV_511,No match,COI FULL DATABASE (includes records without species designation),,
ASV_512,No match,COI FULL DATABASE (includes records without species designation),,
ASV_513,No match,COI FULL DATABASE (includes records without species designation),,
ASV_514,No match,COI FULL DATABASE (includes records without species designation),,
ASV_515,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.57
ASV_516,No match,COI FULL DATABASE (includes records without species designation),,
ASV_517,Wolbachia endosymbiont of Formicidae,COI FULL DATABASE (includes records without species designation),99.62,97.33
ASV_518,No match,COI FULL DATABASE (includes records without species designation),,
ASV_519,No match,COI FULL DATABASE (includes records without species designation),,
ASV_520,No match,COI FULL DATABASE (includes records without species designation),,
ASV_521,Hymenoptera,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_522,No match,COI FULL DATABASE (includes records without species designation),,
ASV_523,No match,COI FULL DATABASE (includes records without species designation),,
ASV_524,No match,COI FULL DATABASE (includes records without species designation),,
ASV_525,No match,COI FULL DATABASE (includes records without species designation),,
ASV_526,Dermatophagoides sp. WH_1,COI FULL DATABASE (includes records without species designation),100,87.5
ASV_527,No match,COI FULL DATABASE (includes records without species designation),,
ASV_528,No match,COI FULL DATABASE (includes records without species designation),,
ASV_529,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.05
ASV_530,Dermatophagoides pteronyssinus,COI FULL DATABASE (includes records without species designation),99.35,86.27
ASV_531,No match,COI FULL DATABASE (includes records without species designation),,
ASV_532,No match,COI FULL DATABASE (includes records without species designation),,
ASV_533,No match,COI FULL DATABASE (includes records without species designation),,
ASV_534,No match,COI FULL DATABASE (includes records without species designation),,
ASV_535,No match,COI FULL DATABASE (includes records without species designation),,
ASV_536,No match,COI FULL DATABASE (includes records without species designation),,
ASV_537,No match,COI FULL DATABASE (includes records without species designation),,
ASV_538,No match,COI FULL DATABASE (includes records without species designation),,
ASV_539,No match,COI FULL DATABASE (includes records without species designation),,
ASV_540,No match,COI FULL DATABASE (includes records without species designation),,
ASV_541,No match,COI FULL DATABASE (includes records without species designation),,
ASV_542,No match,COI FULL DATABASE (includes records without species designation),,
ASV_543,No match,COI FULL DATABASE (includes records without species designation),,
ASV_544,No match,COI FULL DATABASE (includes records without species designation),,
ASV_545,No match,COI FULL DATABASE (includes records without species designation),,
ASV_546,No match,COI FULL DATABASE (includes records without species designation),,
ASV_547,No match,COI FULL DATABASE (includes records without species designation),,
ASV_548,No match,COI FULL DATABASE (includes records without species designation),,
ASV_549,No match,COI FULL DATABASE (includes records without species designation),,
ASV_550,Wolbachia endosymbiont of Formicidae,COI FULL DATABASE (includes records without species designation),99.62,97.33
ASV_551,No match,COI FULL DATABASE (includes records without species designation),,
ASV_552,No match,COI FULL DATABASE (includes records without species designation),,
ASV_553,No match,COI FULL DATABASE (includes records without species designation),,
ASV_554,No match,COI FULL DATABASE (includes records without species designation),,
ASV_555,No match,COI FULL DATABASE (includes records without species designation),,
ASV_556,Fusarium redolens,COI FULL DATABASE (includes records without species designation),98.71,86.73
ASV_557,No match,COI FULL DATABASE (includes records without species designation),,
ASV_558,No match,COI FULL DATABASE (includes records without species designation),,
ASV_559,No match,COI FULL DATABASE (includes records without species designation),,
ASV_560,No match,COI FULL DATABASE (includes records without species designation),,
ASV_561,No match,COI FULL DATABASE (includes records without species designation),,
ASV_562,No match,COI FULL DATABASE (includes records without species designation),,
ASV_563,Microstromatales,COI FULL DATABASE (includes records without species designation),99.68,77.12
ASV_564,No match,COI FULL DATABASE (includes records without species designation),,
ASV_565,No match,COI FULL DATABASE (includes records without species designation),,
ASV_566,No match,COI FULL DATABASE (includes records without species designation),,
ASV_567,No match,COI FULL DATABASE (includes records without species designation),,
ASV_568,No match,COI FULL DATABASE (includes records without species designation),,
ASV_569,No match,COI FULL DATABASE (includes records without species designation),,
ASV_570,No match,COI FULL DATABASE (includes records without species designation),,
ASV_571,No match,COI FULL DATABASE (includes records without species designation),,
ASV_572,No match,COI FULL DATABASE (includes records without species designation),,
ASV_573,No match,COI FULL DATABASE (includes records without species designation),,
ASV_574,No match,COI FULL DATABASE (includes records without species designation),,
ASV_575,Basidiomycota Exobasidiomycetes ,COI FULL DATABASE (includes records without species designation),98.45,76.98
ASV_576,No match,COI FULL DATABASE (includes records without species designation),,
ASV_577,No match,COI FULL DATABASE (includes records without species designation),,
ASV_578,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),97.74,94.35
ASV_579,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),100,96.61
ASV_580,Pantala flavescens,COI FULL DATABASE (includes records without species designation),97.09,96.12
