Query ID,Best ID,Search DB,,
ASV_601,No match,COI FULL DATABASE (includes records without species designation),,
ASV_602,No match,COI FULL DATABASE (includes records without species designation),,
ASV_603,No match,COI FULL DATABASE (includes records without species designation),,
ASV_604,No match,COI FULL DATABASE (includes records without species designation),,
ASV_605,No match,COI FULL DATABASE (includes records without species designation),,
ASV_606,Basidiomycota  ,COI FULL DATABASE (includes records without species designation),97.08,76.95
ASV_607,No match,COI FULL DATABASE (includes records without species designation),,
ASV_608,No match,COI FULL DATABASE (includes records without species designation),,
ASV_609,No match,COI FULL DATABASE (includes records without species designation),,
ASV_610,No match,COI FULL DATABASE (includes records without species designation),,
ASV_611,No match,COI FULL DATABASE (includes records without species designation),,
ASV_612,No match,COI FULL DATABASE (includes records without species designation),,
ASV_613,No match,COI FULL DATABASE (includes records without species designation),,
ASV_614,No match,COI FULL DATABASE (includes records without species designation),,
ASV_615,No match,COI FULL DATABASE (includes records without species designation),,
ASV_616,No match,COI FULL DATABASE (includes records without species designation),,
ASV_617,Diptera,COI FULL DATABASE (includes records without species designation),97.41,93.33
ASV_618,No match,COI FULL DATABASE (includes records without species designation),,
ASV_619,No match,COI FULL DATABASE (includes records without species designation),,
ASV_620,No match,COI FULL DATABASE (includes records without species designation),,
ASV_621,Aleurodicus dispersus,COI FULL DATABASE (includes records without species designation),99.68,99.68
ASV_622,No match,COI FULL DATABASE (includes records without species designation),,
ASV_623,No match,COI FULL DATABASE (includes records without species designation),,
ASV_624,No match,COI FULL DATABASE (includes records without species designation),,
ASV_625,No match,COI FULL DATABASE (includes records without species designation),,
ASV_626,No match,COI FULL DATABASE (includes records without species designation),,
