Query ID,Best ID,Search DB,,
ASV_501,Platnickina mneon,COI SPECIES DATABASE,100,89.96
ASV_502,No match,COI SPECIES DATABASE,,
ASV_503,No match,COI SPECIES DATABASE,,
ASV_504,Piletocera signiferalis,COI SPECIES DATABASE,100,92.78
ASV_505,Wolbachia sp. Tetraponera manangotra,COI SPECIES DATABASE,99.35,98.06
ASV_506,No match,COI SPECIES DATABASE,,
ASV_507,No match,COI SPECIES DATABASE,,
ASV_508,No match,COI SPECIES DATABASE,,
ASV_509,Scytodes longipes,COI SPECIES DATABASE,98.38,84.79
ASV_510,No match,COI SPECIES DATABASE,,
ASV_511,Saccharomyces cerevisiae YJM1527,COI SPECIES DATABASE,100,93.85
ASV_512,Heteropoda venatoria,COI SPECIES DATABASE,99.03,89.78
ASV_513,No match,COI SPECIES DATABASE,,
ASV_514,No match,COI SPECIES DATABASE,,
ASV_515,Pheidole megacephala,COI SPECIES DATABASE,100,98.04
ASV_516,No match,COI SPECIES DATABASE,,
ASV_517,No match,COI SPECIES DATABASE,,
ASV_518,Wolbachia sp. Tetraponera manangotra,COI SPECIES DATABASE,99.03,97.97
ASV_519,No match,COI SPECIES DATABASE,,
ASV_520,No match,COI SPECIES DATABASE,,
ASV_521,No match,COI SPECIES DATABASE,,
ASV_522,No match,COI SPECIES DATABASE,,
ASV_523,Heteropoda venatoria,COI SPECIES DATABASE,100,90.8
ASV_524,No match,COI SPECIES DATABASE,,
ASV_525,Scytodes longipes,COI SPECIES DATABASE,98.38,84.79
ASV_526,Wolbachia endosymbiont of Formicidae,COI SPECIES DATABASE,100,97.58
ASV_527,No match,COI SPECIES DATABASE,,
ASV_528,No match,COI SPECIES DATABASE,,
ASV_529,No match,COI SPECIES DATABASE,,
ASV_530,No match,COI SPECIES DATABASE,,
ASV_531,No match,COI SPECIES DATABASE,,
ASV_532,No match,COI SPECIES DATABASE,,
ASV_533,No match,COI SPECIES DATABASE,,
ASV_534,No match,COI SPECIES DATABASE,,
ASV_535,No match,COI SPECIES DATABASE,,
ASV_536,No match,COI SPECIES DATABASE,,
ASV_537,No match,COI SPECIES DATABASE,,
ASV_538,No match,COI SPECIES DATABASE,,
ASV_539,No match,COI SPECIES DATABASE,,
ASV_540,No match,COI SPECIES DATABASE,,
ASV_541,Heteropoda venatoria,COI SPECIES DATABASE,100,90.8
ASV_542,No match,COI SPECIES DATABASE,,
ASV_543,No match,COI SPECIES DATABASE,,
ASV_544,No match,COI SPECIES DATABASE,,
ASV_545,No match,COI SPECIES DATABASE,,
ASV_546,No match,COI SPECIES DATABASE,,
ASV_547,No match,COI SPECIES DATABASE,,
ASV_548,No match,COI SPECIES DATABASE,,
ASV_549,No match,COI SPECIES DATABASE,,
ASV_550,No match,COI SPECIES DATABASE,,
ASV_551,Phisis holdhausi,COI SPECIES DATABASE,99.35,84.92
ASV_552,Lepidopsocus unicolor,COI SPECIES DATABASE,100,100
ASV_553,No match,COI SPECIES DATABASE,,
ASV_554,No match,COI SPECIES DATABASE,,
ASV_555,No match,COI SPECIES DATABASE,,
ASV_556,No match,COI SPECIES DATABASE,,
ASV_557,No match,COI SPECIES DATABASE,,
ASV_558,No match,COI SPECIES DATABASE,,
ASV_559,No match,COI SPECIES DATABASE,,
ASV_560,No match,COI SPECIES DATABASE,,
ASV_561,No match,COI SPECIES DATABASE,,
ASV_562,Scholastes lonchifer,COI SPECIES DATABASE,100,88.19
ASV_563,No match,COI SPECIES DATABASE,,
ASV_564,No match,COI SPECIES DATABASE,,
ASV_565,No match,COI SPECIES DATABASE,,
ASV_566,No match,COI SPECIES DATABASE,,
ASV_567,No match,COI SPECIES DATABASE,,
ASV_568,No match,COI SPECIES DATABASE,,
ASV_569,Scholastes lonchifer,COI SPECIES DATABASE,99.68,87.94
ASV_570,No match,COI SPECIES DATABASE,,
ASV_571,No match,COI SPECIES DATABASE,,
ASV_572,No match,COI SPECIES DATABASE,,
ASV_573,Heteropoda venatoria,COI SPECIES DATABASE,100,90.61
ASV_574,No match,COI SPECIES DATABASE,,
ASV_575,No match,COI SPECIES DATABASE,,
ASV_576,No match,COI SPECIES DATABASE,,
ASV_577,No match,COI SPECIES DATABASE,,
ASV_578,No match,COI SPECIES DATABASE,,
ASV_579,Heteropoda venatoria,COI SPECIES DATABASE,99.68,90.41
ASV_580,No match,COI SPECIES DATABASE,,
ASV_581,No match,COI SPECIES DATABASE,,
ASV_582,No match,COI SPECIES DATABASE,,
ASV_583,No match,COI SPECIES DATABASE,,
ASV_584,No match,COI SPECIES DATABASE,,
ASV_585,No match,COI SPECIES DATABASE,,
ASV_586,No match,COI SPECIES DATABASE,,
ASV_587,Heteropoda venatoria,COI SPECIES DATABASE,98.06,89.66
ASV_588,No match,COI SPECIES DATABASE,,
ASV_589,No match,COI SPECIES DATABASE,,
ASV_590,No match,COI SPECIES DATABASE,,
ASV_591,No match,COI SPECIES DATABASE,,
ASV_592,No match,COI SPECIES DATABASE,,
ASV_593,No match,COI SPECIES DATABASE,,
ASV_594,No match,COI SPECIES DATABASE,,
ASV_595,No match,COI SPECIES DATABASE,,
ASV_596,No match,COI SPECIES DATABASE,,
ASV_597,No match,COI SPECIES DATABASE,,
ASV_598,Scytodes longipes,COI SPECIES DATABASE,98.38,84.79
ASV_599,No match,COI SPECIES DATABASE,,
ASV_600,No match,COI SPECIES DATABASE,,
