Query ID,Best ID,Search DB,,
ASV_101,No match,COI FULL DATABASE (includes records without species designation),,
ASV_102,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.27,96.76
ASV_103,No match,COI FULL DATABASE (includes records without species designation),,
ASV_104,No match,COI FULL DATABASE (includes records without species designation),,
ASV_105,No match,COI FULL DATABASE (includes records without species designation),,
ASV_106,No match,COI FULL DATABASE (includes records without species designation),,
ASV_107,No match,COI FULL DATABASE (includes records without species designation),,
ASV_108,Dermaptera,COI FULL DATABASE (includes records without species designation),98.95,85.76
ASV_109,No match,COI FULL DATABASE (includes records without species designation),,
ASV_110,Wolbachia endosymbiont,COI FULL DATABASE (includes records without species designation),97.53,88.89
ASV_111,No match,COI FULL DATABASE (includes records without species designation),,
ASV_112,No match,COI FULL DATABASE (includes records without species designation),,
ASV_113,Araneae,COI FULL DATABASE (includes records without species designation),97.73,90.43
ASV_114,No match,COI FULL DATABASE (includes records without species designation),,
ASV_115,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.94
ASV_116,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.19
ASV_117,Araneae,COI FULL DATABASE (includes records without species designation),98.71,90.57
ASV_118,No match,COI FULL DATABASE (includes records without species designation),,
ASV_119,No match,COI FULL DATABASE (includes records without species designation),,
ASV_120,Araneae,COI FULL DATABASE (includes records without species designation),98.65,85.11
ASV_121,No match,COI FULL DATABASE (includes records without species designation),,
ASV_122,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.52
ASV_123,Arthropoda Arachnida ,COI FULL DATABASE (includes records without species designation),100,82.03
ASV_124,2012,COI FULL DATABASE (includes records without species designation),100,90.6
ASV_125,Pycnoscelus sp. B103,COI FULL DATABASE (includes records without species designation),100,86.73
ASV_126,Dermaptera,COI FULL DATABASE (includes records without species designation),98.95,85.44
ASV_127,Psocodea,COI FULL DATABASE (includes records without species designation),100,80.78
ASV_128,No match,COI FULL DATABASE (includes records without species designation),,
ASV_129,No match,COI FULL DATABASE (includes records without species designation),,
ASV_130,No match,COI FULL DATABASE (includes records without species designation),,
ASV_131,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),98.31,94.92
