Query ID,Best ID,Search DB,,
Zotu601,No match,COI FULL DATABASE (includes records without species designation),,
Zotu602,No match,COI FULL DATABASE (includes records without species designation),,
Zotu603,No match,COI FULL DATABASE (includes records without species designation),,
Zotu604,No match,COI FULL DATABASE (includes records without species designation),,
Zotu605,No match,COI FULL DATABASE (includes records without species designation),,
Zotu606,No match,COI FULL DATABASE (includes records without species designation),,
Zotu607,No match,COI FULL DATABASE (includes records without species designation),,
Zotu608,No match,COI FULL DATABASE (includes records without species designation),,
Zotu609,No match,COI FULL DATABASE (includes records without species designation),,
Zotu610,No match,COI FULL DATABASE (includes records without species designation),,
Zotu611,No match,COI FULL DATABASE (includes records without species designation),,
Zotu612,No match,COI FULL DATABASE (includes records without species designation),,
Zotu613,Dermaptera,COI FULL DATABASE (includes records without species designation),98.25,86.08
Zotu614,No match,COI FULL DATABASE (includes records without species designation),,
Zotu615,No match,COI FULL DATABASE (includes records without species designation),,
Zotu616,No match,COI FULL DATABASE (includes records without species designation),,
Zotu617,No match,COI FULL DATABASE (includes records without species designation),,
Zotu618,No match,COI FULL DATABASE (includes records without species designation),,
Zotu619,No match,COI FULL DATABASE (includes records without species designation),,
Zotu620,No match,COI FULL DATABASE (includes records without species designation),,
Zotu621,No match,COI FULL DATABASE (includes records without species designation),,
Zotu622,No match,COI FULL DATABASE (includes records without species designation),,
Zotu623,No match,COI FULL DATABASE (includes records without species designation),,
Zotu624,No match,COI FULL DATABASE (includes records without species designation),,
Zotu625,No match,COI FULL DATABASE (includes records without species designation),,
Zotu626,No match,COI FULL DATABASE (includes records without species designation),,
Zotu627,Diptera,COI FULL DATABASE (includes records without species designation),100,80.58
Zotu628,No match,COI FULL DATABASE (includes records without species designation),,
Zotu629,No match,COI FULL DATABASE (includes records without species designation),,
Zotu630,No match,COI FULL DATABASE (includes records without species designation),,
Zotu631,No match,COI FULL DATABASE (includes records without species designation),,
Zotu632,No match,COI FULL DATABASE (includes records without species designation),,
Zotu633,No match,COI FULL DATABASE (includes records without species designation),,
Zotu634,No match,COI FULL DATABASE (includes records without species designation),,
Zotu635,No match,COI FULL DATABASE (includes records without species designation),,
Zotu636,No match,COI FULL DATABASE (includes records without species designation),,
Zotu637,No match,COI FULL DATABASE (includes records without species designation),,
Zotu638,Dermaptera,COI FULL DATABASE (includes records without species designation),98.24,84.74
Zotu639,No match,COI FULL DATABASE (includes records without species designation),,
Zotu640,No match,COI FULL DATABASE (includes records without species designation),,
Zotu641,No match,COI FULL DATABASE (includes records without species designation),,
Zotu642,No match,COI FULL DATABASE (includes records without species designation),,
Zotu643,No match,COI FULL DATABASE (includes records without species designation),,
Zotu644,Orthoptera,COI FULL DATABASE (includes records without species designation),97.41,86.67
Zotu645,No match,COI FULL DATABASE (includes records without species designation),,
Zotu646,No match,COI FULL DATABASE (includes records without species designation),,
Zotu647,No match,COI FULL DATABASE (includes records without species designation),,
Zotu648,No match,COI FULL DATABASE (includes records without species designation),,
Zotu649,Nylanderia sp. CHR01,COI FULL DATABASE (includes records without species designation),100,91.59
Zotu650,No match,COI FULL DATABASE (includes records without species designation),,
