Query ID,Best ID,Search DB,,
ASV_501,No match,COI FULL DATABASE (includes records without species designation),,
ASV_502,No match,COI FULL DATABASE (includes records without species designation),,
ASV_503,No match,COI FULL DATABASE (includes records without species designation),,
ASV_504,No match,COI FULL DATABASE (includes records without species designation),,
ASV_505,No match,COI FULL DATABASE (includes records without species designation),,
ASV_506,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.08
ASV_507,No match,COI FULL DATABASE (includes records without species designation),,
ASV_508,No match,COI FULL DATABASE (includes records without species designation),,
ASV_509,No match,COI FULL DATABASE (includes records without species designation),,
ASV_510,No match,COI FULL DATABASE (includes records without species designation),,
ASV_511,No match,COI FULL DATABASE (includes records without species designation),,
ASV_512,No match,COI FULL DATABASE (includes records without species designation),,
ASV_513,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_514,Mus musculus,COI FULL DATABASE (includes records without species designation),98.92,98.38
ASV_515,No match,COI FULL DATABASE (includes records without species designation),,
ASV_516,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_517,Hymenoptera,COI FULL DATABASE (includes records without species designation),100,99.68
ASV_518,Tyrophagus putrescentiae,COI FULL DATABASE (includes records without species designation),97.41,96.44
ASV_519,Diptera,COI FULL DATABASE (includes records without species designation),100,96.8
ASV_520,No match,COI FULL DATABASE (includes records without species designation),,
ASV_521,Psocodea,COI FULL DATABASE (includes records without species designation),100,84.79
ASV_522,No match,COI FULL DATABASE (includes records without species designation),,
ASV_523,No match,COI FULL DATABASE (includes records without species designation),,
ASV_524,No match,COI FULL DATABASE (includes records without species designation),,
ASV_525,No match,COI FULL DATABASE (includes records without species designation),,
ASV_526,No match,COI FULL DATABASE (includes records without species designation),,
ASV_527,No match,COI FULL DATABASE (includes records without species designation),,
ASV_528,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_529,No match,COI FULL DATABASE (includes records without species designation),,
ASV_530,No match,COI FULL DATABASE (includes records without species designation),,
ASV_531,No match,COI FULL DATABASE (includes records without species designation),,
ASV_532,No match,COI FULL DATABASE (includes records without species designation),,
ASV_533,No match,COI FULL DATABASE (includes records without species designation),,
ASV_534,No match,COI FULL DATABASE (includes records without species designation),,
ASV_535,No match,COI FULL DATABASE (includes records without species designation),,
ASV_536,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,91.19
ASV_537,No match,COI FULL DATABASE (includes records without species designation),,
ASV_538,No match,COI FULL DATABASE (includes records without species designation),,
ASV_539,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.29
ASV_540,No match,COI FULL DATABASE (includes records without species designation),,
ASV_541,No match,COI FULL DATABASE (includes records without species designation),,
ASV_542,No match,COI FULL DATABASE (includes records without species designation),,
ASV_543,No match,COI FULL DATABASE (includes records without species designation),,
ASV_544,No match,COI FULL DATABASE (includes records without species designation),,
ASV_545,Hymenoptera,COI FULL DATABASE (includes records without species designation),100,91.01
ASV_546,No match,COI FULL DATABASE (includes records without species designation),,
ASV_547,No match,COI FULL DATABASE (includes records without species designation),,
ASV_548,No match,COI FULL DATABASE (includes records without species designation),,
ASV_549,No match,COI FULL DATABASE (includes records without species designation),,
ASV_550,No match,COI FULL DATABASE (includes records without species designation),,
ASV_551,No match,COI FULL DATABASE (includes records without species designation),,
ASV_552,No match,COI FULL DATABASE (includes records without species designation),,
ASV_553,No match,COI FULL DATABASE (includes records without species designation),,
ASV_554,No match,COI FULL DATABASE (includes records without species designation),,
ASV_555,No match,COI FULL DATABASE (includes records without species designation),,
ASV_556,No match,COI FULL DATABASE (includes records without species designation),,
ASV_557,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.41
ASV_558,No match,COI FULL DATABASE (includes records without species designation),,
ASV_559,No match,COI FULL DATABASE (includes records without species designation),,
ASV_560,No match,COI FULL DATABASE (includes records without species designation),,
ASV_561,No match,COI FULL DATABASE (includes records without species designation),,
ASV_562,No match,COI FULL DATABASE (includes records without species designation),,
ASV_563,No match,COI FULL DATABASE (includes records without species designation),,
ASV_564,Araneae,COI FULL DATABASE (includes records without species designation),99.33,82.85
ASV_565,No match,COI FULL DATABASE (includes records without species designation),,
ASV_566,Fusarium redolens,COI FULL DATABASE (includes records without species designation),99.03,87.06
ASV_567,No match,COI FULL DATABASE (includes records without species designation),,
ASV_568,No match,COI FULL DATABASE (includes records without species designation),,
ASV_569,No match,COI FULL DATABASE (includes records without species designation),,
ASV_570,No match,COI FULL DATABASE (includes records without species designation),,
ASV_571,No match,COI FULL DATABASE (includes records without species designation),,
ASV_572,No match,COI FULL DATABASE (includes records without species designation),,
ASV_573,No match,COI FULL DATABASE (includes records without species designation),,
ASV_574,No match,COI FULL DATABASE (includes records without species designation),,
ASV_575,No match,COI FULL DATABASE (includes records without species designation),,
ASV_576,No match,COI FULL DATABASE (includes records without species designation),,
ASV_577,No match,COI FULL DATABASE (includes records without species designation),,
ASV_578,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.6
ASV_579,No match,COI FULL DATABASE (includes records without species designation),,
ASV_580,Orthoptera,COI FULL DATABASE (includes records without species designation),100,84.21
ASV_581,No match,COI FULL DATABASE (includes records without species designation),,
ASV_582,No match,COI FULL DATABASE (includes records without species designation),,
ASV_583,No match,COI FULL DATABASE (includes records without species designation),,
ASV_584,No match,COI FULL DATABASE (includes records without species designation),,
ASV_585,No match,COI FULL DATABASE (includes records without species designation),,
ASV_586,No match,COI FULL DATABASE (includes records without species designation),,
ASV_587,No match,COI FULL DATABASE (includes records without species designation),,
ASV_588,No match,COI FULL DATABASE (includes records without species designation),,
ASV_589,No match,COI FULL DATABASE (includes records without species designation),,
ASV_590,No match,COI FULL DATABASE (includes records without species designation),,
ASV_591,No match,COI FULL DATABASE (includes records without species designation),,
ASV_592,No match,COI FULL DATABASE (includes records without species designation),,
ASV_593,No match,COI FULL DATABASE (includes records without species designation),,
ASV_594,No match,COI FULL DATABASE (includes records without species designation),,
ASV_595,No match,COI FULL DATABASE (includes records without species designation),,
ASV_596,No match,COI FULL DATABASE (includes records without species designation),,
ASV_597,No match,COI FULL DATABASE (includes records without species designation),,
ASV_598,No match,COI FULL DATABASE (includes records without species designation),,
ASV_599,No match,COI FULL DATABASE (includes records without species designation),,
ASV_600,No match,COI FULL DATABASE (includes records without species designation),,
