Query ID,Best ID,Search DB,,
ASV_301,No match,COI FULL DATABASE (includes records without species designation),,
ASV_302,Coleoptera,COI FULL DATABASE (includes records without species designation),100,89.71
ASV_303,No match,COI FULL DATABASE (includes records without species designation),,
ASV_304,No match,COI FULL DATABASE (includes records without species designation),,
ASV_305,No match,COI FULL DATABASE (includes records without species designation),,
ASV_306,No match,COI FULL DATABASE (includes records without species designation),,
ASV_307,No match,COI FULL DATABASE (includes records without species designation),,
ASV_308,Hymenoptera,COI FULL DATABASE (includes records without species designation),100,96.44
ASV_309,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_310,No match,COI FULL DATABASE (includes records without species designation),,
ASV_311,No match,COI FULL DATABASE (includes records without species designation),,
ASV_312,No match,COI FULL DATABASE (includes records without species designation),,
ASV_313,No match,COI FULL DATABASE (includes records without species designation),,
ASV_314,No match,COI FULL DATABASE (includes records without species designation),,
ASV_315,No match,COI FULL DATABASE (includes records without species designation),,
ASV_316,No match,COI FULL DATABASE (includes records without species designation),,
ASV_317,No match,COI FULL DATABASE (includes records without species designation),,
ASV_318,Periplaneta australasiae,COI FULL DATABASE (includes records without species designation),99.68,91.91
ASV_319,No match,COI FULL DATABASE (includes records without species designation),,
ASV_320,No match,COI FULL DATABASE (includes records without species designation),,
ASV_321,No match,COI FULL DATABASE (includes records without species designation),,
ASV_322,No match,COI FULL DATABASE (includes records without species designation),,
ASV_323,No match,COI FULL DATABASE (includes records without species designation),,
ASV_324,No match,COI FULL DATABASE (includes records without species designation),,
ASV_325,No match,COI FULL DATABASE (includes records without species designation),,
ASV_326,No match,COI FULL DATABASE (includes records without species designation),,
ASV_327,Linepithema humile,COI FULL DATABASE (includes records without species designation),100,100
ASV_328,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),100,86.41
ASV_329,No match,COI FULL DATABASE (includes records without species designation),,
ASV_330,No match,COI FULL DATABASE (includes records without species designation),,
ASV_331,No match,COI FULL DATABASE (includes records without species designation),,
ASV_332,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),99.05,85.76
ASV_333,No match,COI FULL DATABASE (includes records without species designation),,
ASV_334,No match,COI FULL DATABASE (includes records without species designation),,
ASV_335,No match,COI FULL DATABASE (includes records without species designation),,
ASV_336,No match,COI FULL DATABASE (includes records without species designation),,
ASV_337,No match,COI FULL DATABASE (includes records without species designation),,
ASV_338,Tyrophagus putrescentiae,COI FULL DATABASE (includes records without species designation),97.41,96.44
ASV_339,No match,COI FULL DATABASE (includes records without species designation),,
ASV_340,No match,COI FULL DATABASE (includes records without species designation),,
ASV_341,No match,COI FULL DATABASE (includes records without species designation),,
ASV_342,No match,COI FULL DATABASE (includes records without species designation),,
ASV_343,No match,COI FULL DATABASE (includes records without species designation),,
ASV_344,No match,COI FULL DATABASE (includes records without species designation),,
ASV_345,No match,COI FULL DATABASE (includes records without species designation),,
ASV_346,Araneae,COI FULL DATABASE (includes records without species designation),98.88,82.03
ASV_347,No match,COI FULL DATABASE (includes records without species designation),,
ASV_348,No match,COI FULL DATABASE (includes records without species designation),,
ASV_349,No match,COI FULL DATABASE (includes records without species designation),,
ASV_350,Gaurax bicoloripes,COI FULL DATABASE (includes records without species designation),100,93.85
ASV_351,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.22
ASV_352,No match,COI FULL DATABASE (includes records without species designation),,
ASV_353,No match,COI FULL DATABASE (includes records without species designation),,
ASV_354,No match,COI FULL DATABASE (includes records without species designation),,
ASV_355,No match,COI FULL DATABASE (includes records without species designation),,
ASV_356,No match,COI FULL DATABASE (includes records without species designation),,
ASV_357,No match,COI FULL DATABASE (includes records without species designation),,
ASV_358,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
ASV_359,No match,COI FULL DATABASE (includes records without species designation),,
ASV_360,Diptera,COI FULL DATABASE (includes records without species designation),99.67,99.67
ASV_361,No match,COI FULL DATABASE (includes records without species designation),,
ASV_362,No match,COI FULL DATABASE (includes records without species designation),,
ASV_363,No match,COI FULL DATABASE (includes records without species designation),,
ASV_364,No match,COI FULL DATABASE (includes records without species designation),,
ASV_365,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.53,90.22
ASV_366,No match,COI FULL DATABASE (includes records without species designation),,
